#mu         density         sigma_xx         sigma_xy         alpha_xx         alpha_xy         beta_xx         beta_xy
-0.68000000  0.47623668   8.99704418e-01  1.40353268e+00   1.94738180e-03  1.49591747e-02   2.37702294e+00  3.70780773e+00
-0.64000000  0.48216574   9.02461173e-01  1.42574189e+00   1.69681583e-03  1.43846750e-02   2.38431516e+00  3.76655433e+00
-0.60000000  0.48801367   9.04845901e-01  1.44709571e+00   1.45476638e-03  1.38270764e-02   2.39063984e+00  3.82299700e+00
-0.56000000  0.49381702   9.06872780e-01  1.46761202e+00   1.22501395e-03  1.32750307e-02   2.39603361e+00  3.87719417e+00
-0.52000000  0.49957810   9.08560520e-01  1.48729476e+00   1.00819550e-03  1.27284289e-02   2.40052139e+00  3.92922535e+00
-0.48000000  0.50525868   9.09925689e-01  1.50615689e+00   7.98523545e-04  1.22026985e-02   2.40412449e+00  3.97915933e+00
-0.44000000  0.51082532   9.10974615e-01  1.52423815e+00   5.89298118e-04  1.17064249e-02   2.40687674e+00  4.02701044e+00
-0.40000000  0.51629503   9.11707479e-01  1.54157950e+00   3.82228567e-04  1.12175317e-02   2.40882253e+00  4.07276358e+00
-0.36000000  0.52171928   9.12133326e-01  1.55817541e+00   1.85740919e-04  1.07035900e-02   2.40999000e+00  4.11646870e+00
-0.32000000  0.52710724   9.12272932e-01  1.57398365e+00   1.16262057e-06  1.01745300e-02   2.41038065e+00  4.15825950e+00
-0.28000000  0.53242994   9.12139409e-01  1.58900794e+00  -1.81039791e-04  9.68548923e-03   2.41000641e+00  4.19821324e+00
-0.24000000  0.53768198   9.11727839e-01  1.60333474e+00  -3.64186521e-04  9.25930561e-03   2.40891796e+00  4.23624648e+00
-0.20000000  0.54290628   9.11039745e-01  1.61703445e+00  -5.36754239e-04  8.83681741e-03   2.40715612e+00  4.27227000e+00
-0.16000000  0.54809634   9.10101668e-01  1.63005787e+00  -6.95112890e-04  8.35453745e-03   2.40470012e+00  4.30640487e+00
-0.12000000  0.55317639   9.08930959e-01  1.64231452e+00  -8.58117581e-04  7.84704943e-03   2.40153439e+00  4.33886509e+00
-0.08000000  0.55815514   9.07504565e-01  1.65383454e+00  -1.03384910e-03  7.39997810e-03   2.39773562e+00  4.36964301e+00
-0.04000000  0.56315199   9.05809051e-01  1.66474157e+00  -1.19429820e-03  7.01403248e-03   2.39337862e+00  4.39854768e+00
 0.00000000  0.56820817   9.03893005e-01  1.67506649e+00  -1.32323899e-03  6.60501661e-03   2.38839770e+00  4.42556889e+00
 0.04000000  0.57315259   9.01797160e-01  1.68471793e+00  -1.45877979e-03  6.14133239e-03   2.38271753e+00  4.45092619e+00
 0.08000000  0.57790375   8.99472319e-01  1.69365332e+00  -1.62900100e-03  5.68599748e-03   2.37646102e+00  4.47472128e+00
 0.12000000  0.58266591   8.96871756e-01  1.70194786e+00  -1.78737096e-03  5.28602340e-03   2.36977172e+00  4.49683019e+00
 0.16000000  0.58756988   8.94067669e-01  1.70966900e+00  -1.89444661e-03  4.90678896e-03   2.36252639e+00  4.51717487e+00
 0.20000000  0.59239609   8.91133060e-01  1.71679487e+00  -2.00516039e-03  4.49839799e-03   2.35457287e+00  4.53584430e+00
 0.24000000  0.59697255   8.87992699e-01  1.72327608e+00  -2.16830681e-03  4.06567632e-03   2.34609538e+00  4.55294572e+00
 0.28000000  0.60155248   8.84572341e-01  1.72910922e+00  -2.32072867e-03  3.65302152e-03   2.33729774e+00  4.56850844e+00
 0.32000000  0.60631439   8.80971580e-01  1.73434743e+00  -2.40935442e-03  3.28179130e-03   2.32797897e+00  4.58247629e+00
 0.36000000  0.61099909   8.77276783e-01  1.73904264e+00  -2.50683764e-03  2.91345620e-03   2.31795048e+00  4.59476852e+00
 0.40000000  0.61541872   8.73380193e-01  1.74315959e+00  -2.66507009e-03  2.50414181e-03   2.30748293e+00  4.60546514e+00
 0.44000000  0.61987859   8.69210240e-01  1.74662665e+00  -2.80200178e-03  2.08988702e-03   2.29677223e+00  4.61475703e+00
 0.48000000  0.62451705   8.64899475e-01  1.74949371e+00  -2.87368580e-03  1.73138700e-03   2.28552224e+00  4.62257900e+00
 0.52000000  0.62903819   8.60510648e-01  1.75186717e+00  -2.97078324e-03  1.38802447e-03   2.27359833e+00  4.62870477e+00
 0.56000000  0.63331990   8.55905422e-01  1.75369288e+00  -3.12362926e-03  9.88534525e-04   2.26135480e+00  4.63327151e+00
 0.60000000  0.63770698   8.51054021e-01  1.75486221e+00  -3.23642138e-03  5.84309728e-04   2.24888166e+00  4.63656967e+00
 0.64000000  0.64222534   8.46108374e-01  1.75546394e+00  -3.29727716e-03  2.48402761e-04   2.23582358e+00  4.63842001e+00
 0.68000000  0.64657266   8.41073552e-01  1.75561402e+00  -3.40248923e-03 -8.60596679e-05   2.22218871e+00  4.63855945e+00
 0.72000000  0.65075469   8.35807447e-01  1.75520441e+00  -3.54350780e-03 -4.84686175e-04   2.20834431e+00  4.63727172e+00
 0.76000000  0.65508856   8.30344620e-01  1.75414718e+00  -3.62981552e-03 -8.64955175e-04   2.19421551e+00  4.63479990e+00
 0.80000000  0.65947637   8.24819994e-01  1.75258526e+00  -3.69001943e-03 -1.17809134e-03   2.17948539e+00  4.63081379e+00
